Data,Ultimo
2022-08-19,"84.655,69"
2022-08-18,"85.365,08"
2022-08-17,"86.100,54"
2022-08-16,"84.780,95"
2022-08-15,"84.886,43"
2022-08-12,"84.029,98"
2022-08-11,"82.702,06"
2022-08-10,"84.074,63"
2022-08-09,"83.700,07"
2022-08-08,"84.205,53"
2022-08-05,"83.770,98"
2022-08-04,"83.610,33"
2022-08-03,"81.514,25"
2022-08-02,"81.567,42"
2022-08-01,"81.427,93"
2022-07-29,"81.253,39"
2022-07-28,"81.185,78"
2022-07-27,"80.749,13"
2022-07-26,"79.637,59"
2022-07-25,"80.031,12"
2022-07-22,"79.163,24"
2022-07-21,"78.738,58"
2022-07-20,"78.590,17"
2022-07-19,"77.876,36"
2022-07-18,"77.354,97"
2022-07-15,"77.786,43"
2022-07-14,"77.816,94"
2022-07-13,"77.744,69"
2022-07-12,"78.015,96"
2022-07-11,"77.815,79"
2022-07-08,"78.665,60"
2022-07-07,"78.435,18"
2022-07-06,"77.153,85"
2022-07-05,"76.939,04"
2022-07-04,"77.640,33"
2022-07-01,"78.919,17"
2022-06-30,"78.786,86"
2022-06-29,"79.718,84"
2022-06-28,"80.455,54"
2022-06-27,"79.650,29"
2022-06-24,"78.821,18"
2022-06-23,"79.117,40"
2022-06-22,"79.995,80"
2022-06-21,"79.830,79"
2022-06-20,"80.349,50"
2022-06-17,"80.519,03"
2022-06-15,"80.424,91"
2022-06-14,"78.434,16"
2022-06-13,"78.199,06"
2022-06-10,"78.922,18"
2022-06-09,"80.642,26"
2022-06-08,"81.290,25"
2022-06-07,"81.525,91"
2022-06-06,"81.729,87"
2022-06-03,"82.629,31"
2022-06-02,"83.538,20"
2022-06-01,"82.754,14"
2022-05-31,"82.865,39"
2022-05-30,"82.307,80"
2022-05-27,"83.319,65"
2022-05-26,"84.114,20"
2022-05-25,"85.235,56"
2022-05-24,"85.265,44"
2022-05-23,"84.333,69"
2022-05-20,"83.786,28"
2022-05-19,"83.327,36"
2022-05-18,"82.339,83"
2022-05-17,"83.301,36"
2022-05-16,"81.772,46"
2022-05-13,"81.141,17"
2022-05-12,"80.612,71"
2022-05-11,"80.132,68"
2022-05-10,"80.961,49"
2022-05-09,"80.812,42"
2022-05-06,"80.786,69"
2022-05-05,"81.527,22"
2022-05-04,"83.315,69"
2022-05-03,"81.998,80"
2022-05-02,"82.029,00"
2022-04-29,"83.185,41"
2022-04-28,"84.792,18"
